,home_run,league,name
0,151.0,AL,Detroit Tigers
1,232.0,AL,Toronto Blue Jays
2,139.0,AL,Kansas City Royals
3,136.0,NL,San Francisco Giants
4,186.0,NL,Colorado Rockies
5,161.0,AL,Boston Red Sox
6,154.0,NL,Arizona Diamondbacks
7,120.0,NL,Miami Marlins
8,140.0,NL,Pittsburgh Pirates
9,172.0,AL,Texas Rangers
10,141.0,AL,Cleveland Indians
11,137.0,NL,St. Louis Cardinals
12,167.0,AL,Tampa Bay Rays
13,145.0,NL,Milwaukee Brewers
14,100.0,NL,Atlanta Braves
15,177.0,NL,Washington Nationals
16,212.0,AL,New York Yankees
17,146.0,AL,Oakland Athletics
18,187.0,NL,Los Angeles Dodgers
19,217.0,AL,Baltimore Orioles
20,230.0,AL,Houston Astros
21,136.0,AL,Chicago White Sox
22,198.0,AL,Seattle Mariners
23,130.0,NL,Philadelphia Phillies
24,167.0,NL,Cincinnati Reds
25,156.0,AL,Minnesota Twins
26,176.0,AL,Los Angeles Angels
27,177.0,NL,New York Mets
28,171.0,NL,Chicago Cubs
29,148.0,NL,San Diego Padres
