,name,pats,pos
0,Erik Floyd Kratz,2.0,C
1,Miguel Enrique Andújar,7.0,3B
2,Michael Francisco Pineda,3.0,P
3,Garrett N. Cooper,43.0,1B
4,Starlin DeJesus Castro,443.0,2B
5,Ronald Alcides Torreyes,315.0,2B
6,Mariekson Julius Gregorius,534.0,SS
7,Aaron James Judge,542.0,RF
8,Gary Sánchez,471.0,C
9,Chase Jordan Headley,512.0,3B
10,Ji-Man Choi,15.0,1B
11,Aaron Michael Hicks,301.0,CF
12,Brett M. Gardner,594.0,LF
13,Jacoby McCabe Ellsbury,356.0,CF
14,Mason Williams,16.0,RF
15,Clint Jackson Frazier,134.0,LF
16,Matthew Thomas Holliday,373.0,DH
17,Christopher Tyler Austin,40.0,1B
18,Todd Brian Frazier,194.0,3B
19,Austin Allen Romine,229.0,C
20,Vernon Christopher Carter,184.0,1B
21,Luis Severino,5.0,P
22,Gregory Paul Bird,147.0,1B
23,Tyler Dean Wade,58.0,SS
24,Robert Daniel Refsnyder,37.0,1B
25,Peter Michael Kozma,9.0,SS
26,Jaime Omar García,2.0,P
27,Kyle Harris Higashioka,18.0,C
28,Jordan Blackmon Montgomery,3.0,P
29,Carsten Charles Sabathia,3.0,P
30,Chasen Dean Shreve,2.0,P
31,Masahiro Tanaka,2.0,P
32,Dellin Betances,0.0,P
33,Albertin Aroldis Chapman,0.0,P
34,Tyler Lee Clippard,0.0,P
35,Dustin Ryan Fowler,0.0,CF
36,Chad Keith Green,0.0,P
37,Jonathan Blake Holder,0.0,P
38,Thomas Robert Kahnle,0.0,P
39,Thomas Kevin Layne,0.0,P
40,Bryan Bedford Mitchell,0.0,P
41,David Alan Robertson,0.0,P
42,Caleb Anthony Smith,0.0,P
43,Adam Parrish Warren,0.0,P
