,opponent Team name abbrev,game date,stadium id,stadium_name,stadium_city,stadium_state
0,NYY,2016-04-04T00:00:00,35,Yankee Stadium,New York,NY
1,NYY,2016-04-05T00:00:00,35,Yankee Stadium,New York,NY
2,NYY,2016-04-06T00:00:00,35,Yankee Stadium,New York,NY
3,NYY,2016-04-07T00:00:00,35,Yankee Stadium,New York,NY
4,MIL,2016-04-08T00:00:00,19,Miller Park,Milwaukee,WI
5,MIL,2016-04-09T00:00:00,19,Miller Park,Milwaukee,WI
6,MIL,2016-04-10T00:00:00,19,Miller Park,Milwaukee,WI
7,KC,2016-04-11T00:00:00,63,Minute Maid Park,Houston,TX
8,KC,2016-04-12T00:00:00,63,Minute Maid Park,Houston,TX
9,KC,2016-04-13T00:00:00,63,Minute Maid Park,Houston,TX
10,KC,2016-04-14T00:00:00,63,Minute Maid Park,Houston,TX
11,DET,2016-04-15T00:00:00,63,Minute Maid Park,Houston,TX
12,DET,2016-04-16T00:00:00,63,Minute Maid Park,Houston,TX
13,DET,2016-04-17T00:00:00,63,Minute Maid Park,Houston,TX
14,TEX,2016-04-19T00:00:00,21,Globe Life Park in Arlington,Arlington,TX
15,TEX,2016-04-20T00:00:00,21,Globe Life Park in Arlington,Arlington,TX
16,TEX,2016-04-21T00:00:00,21,Globe Life Park in Arlington,Arlington,TX
17,BOS,2016-04-22T00:00:00,63,Minute Maid Park,Houston,TX
18,BOS,2016-04-23T00:00:00,63,Minute Maid Park,Houston,TX
19,BOS,2016-04-24T00:00:00,63,Minute Maid Park,Houston,TX
20,SEA,2016-04-25T00:00:00,65,Safeco Field,Seattle,WA
21,SEA,2016-04-26T00:00:00,65,Safeco Field,Seattle,WA
22,SEA,2016-04-27T00:00:00,65,Safeco Field,Seattle,WA
23,OAK,2016-04-29T00:00:00,23,O.co Coliseum,Oakland,CA
24,OAK,2016-04-30T00:00:00,23,O.co Coliseum,Oakland,CA
25,OAK,2016-05-01T00:00:00,23,O.co Coliseum,Oakland,CA
26,MIN,2016-05-02T00:00:00,63,Minute Maid Park,Houston,TX
27,MIN,2016-05-03T00:00:00,63,Minute Maid Park,Houston,TX
28,MIN,2016-05-04T00:00:00,63,Minute Maid Park,Houston,TX
29,SEA,2016-05-05T00:00:00,63,Minute Maid Park,Houston,TX
30,SEA,2016-05-06T00:00:00,63,Minute Maid Park,Houston,TX
31,SEA,2016-05-07T00:00:00,63,Minute Maid Park,Houston,TX
32,SEA,2016-05-08T00:00:00,63,Minute Maid Park,Houston,TX
33,CLE,2016-05-09T00:00:00,63,Minute Maid Park,Houston,TX
34,CLE,2016-05-10T00:00:00,63,Minute Maid Park,Houston,TX
35,CLE,2016-05-11T00:00:00,63,Minute Maid Park,Houston,TX
36,BOS,2016-05-12T00:00:00,50,Fenway Park,Boston,MA
37,BOS,2016-05-13T00:00:00,50,Fenway Park,Boston,MA
38,BOS,2016-05-14T00:00:00,50,Fenway Park,Boston,MA
39,BOS,2016-05-15T00:00:00,50,Fenway Park,Boston,MA
40,CHW,2016-05-17T00:00:00,25,U.S. Cellular Field,Chicago,IL
41,CHW,2016-05-18T00:00:00,25,U.S. Cellular Field,Chicago,IL
42,CHW,2016-05-19T00:00:00,25,U.S. Cellular Field,Chicago,IL
43,TEX,2016-05-20T00:00:00,63,Minute Maid Park,Houston,TX
44,TEX,2016-05-21T00:00:00,63,Minute Maid Park,Houston,TX
45,TEX,2016-05-22T00:00:00,63,Minute Maid Park,Houston,TX
46,BAL,2016-05-24T00:00:00,63,Minute Maid Park,Houston,TX
47,BAL,2016-05-25T00:00:00,63,Minute Maid Park,Houston,TX
48,BAL,2016-05-26T00:00:00,63,Minute Maid Park,Houston,TX
49,LAA,2016-05-27T00:00:00,28,Angel Stadium of Anaheim,Anaheim,CA
50,LAA,2016-05-28T00:00:00,28,Angel Stadium of Anaheim,Anaheim,CA
51,LAA,2016-05-29T00:00:00,28,Angel Stadium of Anaheim,Anaheim,CA
52,ARI,2016-05-30T00:00:00,54,Chase Field,Phoenix,AZ
53,ARI,2016-05-31T00:00:00,54,Chase Field,Phoenix,AZ
54,ARI,2016-06-01T00:00:00,63,Minute Maid Park,Houston,TX
55,ARI,2016-06-02T00:00:00,63,Minute Maid Park,Houston,TX
56,OAK,2016-06-03T00:00:00,63,Minute Maid Park,Houston,TX
57,OAK,2016-06-04T00:00:00,63,Minute Maid Park,Houston,TX
58,OAK,2016-06-05T00:00:00,63,Minute Maid Park,Houston,TX
59,TEX,2016-06-06T00:00:00,21,Globe Life Park in Arlington,Arlington,TX
60,TEX,2016-06-07T00:00:00,21,Globe Life Park in Arlington,Arlington,TX
61,TEX,2016-06-08T00:00:00,21,Globe Life Park in Arlington,Arlington,TX
62,TEX,2016-06-09T00:00:00,21,Globe Life Park in Arlington,Arlington,TX
63,TB,2016-06-10T00:00:00,18,Tropicana Field,St. Petersburg,FL
64,TB,2016-06-11T00:00:00,18,Tropicana Field,St. Petersburg,FL
65,TB,2016-06-12T00:00:00,18,Tropicana Field,St. Petersburg,FL
66,STL,2016-06-14T00:00:00,41,Busch Stadium,St. Louis,MO
67,STL,2016-06-15T00:00:00,41,Busch Stadium,St. Louis,MO
68,CIN,2016-06-17T00:00:00,63,Minute Maid Park,Houston,TX
69,CIN,2016-06-18T00:00:00,63,Minute Maid Park,Houston,TX
70,CIN,2016-06-19T00:00:00,63,Minute Maid Park,Houston,TX
71,LAA,2016-06-20T00:00:00,63,Minute Maid Park,Houston,TX
72,LAA,2016-06-21T00:00:00,63,Minute Maid Park,Houston,TX
73,LAA,2016-06-22T00:00:00,63,Minute Maid Park,Houston,TX
74,KC,2016-06-24T00:00:00,33,Kauffman Stadium,Kansas City,MO
75,KC,2016-06-25T00:00:00,33,Kauffman Stadium,Kansas City,MO
76,KC,2016-06-26T00:00:00,33,Kauffman Stadium,Kansas City,MO
77,LAA,2016-06-27T00:00:00,28,Angel Stadium of Anaheim,Anaheim,CA
78,LAA,2016-06-28T00:00:00,28,Angel Stadium of Anaheim,Anaheim,CA
79,LAA,2016-06-29T00:00:00,28,Angel Stadium of Anaheim,Anaheim,CA
80,CHW,2016-07-01T00:00:00,63,Minute Maid Park,Houston,TX
81,CHW,2016-07-02T00:00:00,63,Minute Maid Park,Houston,TX
82,CHW,2016-07-03T00:00:00,63,Minute Maid Park,Houston,TX
83,SEA,2016-07-04T00:00:00,63,Minute Maid Park,Houston,TX
84,SEA,2016-07-05T00:00:00,63,Minute Maid Park,Houston,TX
85,SEA,2016-07-06T00:00:00,63,Minute Maid Park,Houston,TX
86,OAK,2016-07-07T00:00:00,63,Minute Maid Park,Houston,TX
87,OAK,2016-07-08T00:00:00,63,Minute Maid Park,Houston,TX
88,OAK,2016-07-09T00:00:00,63,Minute Maid Park,Houston,TX
89,OAK,2016-07-10T00:00:00,63,Minute Maid Park,Houston,TX
90,SEA,2016-07-15T00:00:00,65,Safeco Field,Seattle,WA
91,SEA,2016-07-16T00:00:00,65,Safeco Field,Seattle,WA
92,SEA,2016-07-17T00:00:00,65,Safeco Field,Seattle,WA
93,OAK,2016-07-18T00:00:00,23,O.co Coliseum,Oakland,CA
94,OAK,2016-07-19T00:00:00,23,O.co Coliseum,Oakland,CA
95,OAK,2016-07-20T00:00:00,23,O.co Coliseum,Oakland,CA
96,LAA,2016-07-22T00:00:00,63,Minute Maid Park,Houston,TX
97,LAA,2016-07-23T00:00:00,63,Minute Maid Park,Houston,TX
98,LAA,2016-07-24T00:00:00,63,Minute Maid Park,Houston,TX
99,NYY,2016-07-25T00:00:00,63,Minute Maid Park,Houston,TX
100,NYY,2016-07-26T00:00:00,63,Minute Maid Park,Houston,TX
101,NYY,2016-07-27T00:00:00,63,Minute Maid Park,Houston,TX
102,DET,2016-07-29T00:00:00,62,Comerica Park,Detroit,MI
103,DET,2016-07-30T00:00:00,62,Comerica Park,Detroit,MI
104,DET,2016-07-31T00:00:00,62,Comerica Park,Detroit,MI
105,TOR,2016-08-01T00:00:00,63,Minute Maid Park,Houston,TX
106,TOR,2016-08-02T00:00:00,63,Minute Maid Park,Houston,TX
107,TOR,2016-08-03T00:00:00,63,Minute Maid Park,Houston,TX
108,TOR,2016-08-04T00:00:00,63,Minute Maid Park,Houston,TX
109,TEX,2016-08-05T00:00:00,63,Minute Maid Park,Houston,TX
110,TEX,2016-08-06T00:00:00,63,Minute Maid Park,Houston,TX
111,TEX,2016-08-07T00:00:00,63,Minute Maid Park,Houston,TX
112,MIN,2016-08-08T00:00:00,14,Target Field,Minneapolis,MN
113,MIN,2016-08-09T00:00:00,14,Target Field,Minneapolis,MN
114,MIN,2016-08-10T00:00:00,14,Target Field,Minneapolis,MN
115,MIN,2016-08-11T00:00:00,14,Target Field,Minneapolis,MN
116,MIN,2016-08-11T00:00:00,14,Target Field,Minneapolis,MN
117,TOR,2016-08-12T00:00:00,42,Rogers Centre,Toronto,ON
118,TOR,2016-08-13T00:00:00,42,Rogers Centre,Toronto,ON
119,TOR,2016-08-14T00:00:00,42,Rogers Centre,Toronto,ON
120,STL,2016-08-16T00:00:00,63,Minute Maid Park,Houston,TX
121,STL,2016-08-17T00:00:00,63,Minute Maid Park,Houston,TX
122,BAL,2016-08-18T00:00:00,22,Oriole Park at Camden Yards,Baltimore,MD
123,BAL,2016-08-19T00:00:00,22,Oriole Park at Camden Yards,Baltimore,MD
124,BAL,2016-08-20T00:00:00,22,Oriole Park at Camden Yards,Baltimore,MD
125,BAL,2016-08-21T00:00:00,22,Oriole Park at Camden Yards,Baltimore,MD
126,PIT,2016-08-22T00:00:00,29,PNC Park,Pittsburgh,PA
127,PIT,2016-08-23T00:00:00,29,PNC Park,Pittsburgh,PA
128,PIT,2016-08-24T00:00:00,29,PNC Park,Pittsburgh,PA
129,TB,2016-08-26T00:00:00,63,Minute Maid Park,Houston,TX
130,TB,2016-08-27T00:00:00,63,Minute Maid Park,Houston,TX
131,TB,2016-08-28T00:00:00,63,Minute Maid Park,Houston,TX
132,OAK,2016-08-29T00:00:00,63,Minute Maid Park,Houston,TX
133,OAK,2016-08-30T00:00:00,63,Minute Maid Park,Houston,TX
134,OAK,2016-08-31T00:00:00,63,Minute Maid Park,Houston,TX
135,TEX,2016-09-02T00:00:00,21,Globe Life Park in Arlington,Arlington,TX
136,TEX,2016-09-03T00:00:00,21,Globe Life Park in Arlington,Arlington,TX
137,TEX,2016-09-04T00:00:00,21,Globe Life Park in Arlington,Arlington,TX
138,CLE,2016-09-05T00:00:00,10,Progressive Field,Cleveland,OH
139,CLE,2016-09-06T00:00:00,10,Progressive Field,Cleveland,OH
140,CLE,2016-09-07T00:00:00,10,Progressive Field,Cleveland,OH
141,CLE,2016-09-08T00:00:00,10,Progressive Field,Cleveland,OH
142,CHC,2016-09-09T00:00:00,63,Minute Maid Park,Houston,TX
143,CHC,2016-09-10T00:00:00,63,Minute Maid Park,Houston,TX
144,CHC,2016-09-11T00:00:00,63,Minute Maid Park,Houston,TX
145,TEX,2016-09-12T00:00:00,63,Minute Maid Park,Houston,TX
146,TEX,2016-09-13T00:00:00,63,Minute Maid Park,Houston,TX
147,TEX,2016-09-14T00:00:00,63,Minute Maid Park,Houston,TX
148,SEA,2016-09-16T00:00:00,65,Safeco Field,Seattle,WA
149,SEA,2016-09-17T00:00:00,65,Safeco Field,Seattle,WA
150,SEA,2016-09-18T00:00:00,65,Safeco Field,Seattle,WA
151,OAK,2016-09-19T00:00:00,23,O.co Coliseum,Oakland,CA
152,OAK,2016-09-20T00:00:00,23,O.co Coliseum,Oakland,CA
153,OAK,2016-09-21T00:00:00,23,O.co Coliseum,Oakland,CA
154,LAA,2016-09-22T00:00:00,63,Minute Maid Park,Houston,TX
155,LAA,2016-09-23T00:00:00,63,Minute Maid Park,Houston,TX
156,LAA,2016-09-24T00:00:00,63,Minute Maid Park,Houston,TX
157,LAA,2016-09-25T00:00:00,63,Minute Maid Park,Houston,TX
158,SEA,2016-09-26T00:00:00,63,Minute Maid Park,Houston,TX
159,SEA,2016-09-27T00:00:00,63,Minute Maid Park,Houston,TX
160,SEA,2016-09-28T00:00:00,63,Minute Maid Park,Houston,TX
161,LAA,2016-09-30T00:00:00,28,Angel Stadium of Anaheim,Anaheim,CA
162,LAA,2016-10-01T00:00:00,28,Angel Stadium of Anaheim,Anaheim,CA
163,LAA,2016-10-02T00:00:00,28,Angel Stadium of Anaheim,Anaheim,CA
