,abbrev name,born place,name,team
0,"Ramirez, A", Dominican Republic,Aramis Nin Ramirez,Milwaukee Brewers
1,"Ramirez, A", Cuba,Alexei Fernando Ramirez,Chicago White Sox
2,"Cabrera, M", Venezuela,Jose Miguel Cabrera,Detroit Tigers
3,"Abreu, J", Cuba,José Dariel Abreu,Chicago White Sox
4,"Bautista, J", Dominican Republic,José Antonio Bautista,Toronto Blue Jays
5,"Cano, R", Dominican Republic,Robinson Jose Canó,Seattle Mariners
6,"Castro, S", Dominican Republic,Starlin DeJesus Castro,Chicago Cubs
7,"Cespedes, Y", Cuba,Yoenis Céspedes,"Oakland Athletics,Boston Red Sox"
8,"Cruz, N", Dominican Republic,Nelson Ramon Cruz,Baltimore Orioles
9,"Gomez, C", Dominican Republic,Carlos Argelis Gómez,Milwaukee Brewers
10,"Montero, M", Venezuela,Miguel Angel Montero,Arizona Diamondbacks
11,"Perez, S", Venezuela,Salvador Johan Perez,Kansas City Royals
12,"Puig, Y", Cuba,Yasiel Puig,Los Angeles Dodgers
13,"Altuve, J", Venezuela,José Carlos Altuve,Houston Astros
14,"Aybar, E", Dominican Republic,Erick Johan Aybar,Los Angeles Angels
15,"Beltre, A", Dominican Republic,Adrian Beltre,Texas Rangers
